=================================================================================
MDC 08 Diseases and Disorders of the Musculoskeletal System and Connective Tissue
=================================================================================

MDC 08 Assignment of Diagnosis Codes

  A0223   Salmonella arthritis
  04100KR Bypass Abdominal Aorta to Lower Artery with Nonautologous Tissue Substitute, Open Approach
  04100Z6 Bypass Abdominal Aorta to Right Common Iliac Artery, Open Approach
  04100Z7 Bypass Abdominal Aorta to Left Common Iliac Artery, Open Approach
  04100Z8 Bypass Abdominal Aorta to Bilateral Common Iliac Arteries, Open Approach
  04100Z9 Bypass Abdominal Aorta to Right Internal Iliac Artery, Open Approach
  04100ZB Bypass Abdominal Aorta to Left Internal Iliac Artery, Open Approach
  04100ZC Bypass Abdominal Aorta to Bilateral Internal Iliac Arteries, Open Approach
  04100ZD Bypass Abdominal Aorta to Right External Iliac Artery, Open Approach
  04100ZF Bypass Abdominal Aorta to Left External Iliac Artery, Open Approach
  04100ZG Bypass Abdominal Aorta to Bilateral External Iliac Arteries, Open Approach
  04100ZH Bypass Abdominal Aorta to Right Femoral Artery, Open Approach
  04100ZJ Bypass Abdominal Aorta to Left Femoral Artery, Open Approach
  04100ZK Bypass Abdominal Aorta to Bilateral Femoral Arteries, Open Approach
  04100ZQ Bypass Abdominal Aorta to Lower Extremity Artery, Open Approach
  04100ZR Bypass Abdominal Aorta to Lower Artery, Open Approach
  0410496 Bypass Abdominal Aorta to Right Common Iliac Artery with Autologous Venous Tissue, Percutaneous Endoscopic Approach
  0410497 Bypass Abdominal Aorta to Left Common Iliac Artery with Autologous Venous Tissue, Percutaneous Endoscopic Approach
  0410498 Bypass Abdominal Aorta to Bilateral Common Iliac Arteries with Autologous Venous Tissue, Percutaneous Endoscopic Approach
  0410499 Bypass Abdominal Aorta to Right Internal Iliac Artery with Autologous Venous Tissue, Percutaneous Endoscopic Approach
  041049B Bypass Abdominal Aorta to Left Internal Iliac Artery with Autologous Venous Tissue, Percutaneous Endoscopic Approach
  041049C Bypass Abdominal Aorta to Bilateral Internal Iliac Arteries with Autologous Venous Tissue, Percutaneous Endoscopic Approach
  041049D Bypass Abdominal Aorta to Right External Iliac Artery with Autologous Venous Tissue, Percutaneous Endoscopic Approach
  041049F Bypass Abdominal Aorta to Left External Iliac Artery with Autologous Venous Tissue, Percutaneous Endoscopic Approach
  041049G Bypass Abdominal Aorta to Bilateral External Iliac Arteries with Autologous Venous Tissue, Percutaneous Endoscopic Approach
  041049H Bypass Abdominal Aorta to Right Femoral Artery with Autologous Venous Tissue, Percutaneous Endoscopic Approach
  041049J Bypass Abdominal Aorta to Left Femoral Artery with Autologous Venous Tissue, Percutaneous Endoscopic Approach
  041049K Bypass Abdominal Aorta to Bilateral Femoral Arteries with Autologous Venous Tissue, Percutaneous Endoscopic Approach
  041049Q Bypass Abdominal Aorta to Lower Extremity Artery with Autologous Venous Tissue, Percutaneous Endoscopic Approach
  041049R Bypass Abdominal Aorta to Lower Artery with Autologous Venous Tissue, Percutaneous Endoscopic Approach
  04104A6 Bypass Abdominal Aorta to Right Common Iliac Artery with Autologous Arterial Tissue, Percutaneous Endoscopic Approach
  04104A7 Bypass Abdominal Aorta to Left Common Iliac Artery with Autologous Arterial Tissue, Percutaneous Endoscopic Approach
  04104A8 Bypass Abdominal Aorta to Bilateral Common Iliac Arteries with Autologous Arterial Tissue, Percutaneous Endoscopic Approach
  04104A9 Bypass Abdominal Aorta to Right Internal Iliac Artery with Autologous Arterial Tissue, Percutaneous Endoscopic Approach
  04104AB Bypass Abdominal Aorta to Left Internal Iliac Artery with Autologous Arterial Tissue, Percutaneous Endoscopic Approach
  04104AC Bypass Abdominal Aorta to Bilateral Internal Iliac Arteries with Autologous Arterial Tissue, Percutaneous Endoscopic Approach
  04104AD Bypass Abdominal Aorta to Right External Iliac Artery with Autologous Arterial Tissue, Percutaneous Endoscopic Approach
  04104AF Bypass Abdominal Aorta to Left External Iliac Artery with Autologous Arterial Tissue, Percutaneous Endoscopic Approach
  04104AG Bypass Abdominal Aorta to Bilateral External Iliac Arteries with Autologous Arterial Tissue, Percutaneous Endoscopic Approach
  04104AH Bypass Abdominal Aorta to Right Femoral Artery with Autologous Arterial Tissue, Percutaneous Endoscopic Approach
  04104AJ Bypass Abdominal Aorta to Left Femoral Artery with Autologous Arterial Tissue, Percutaneous Endoscopic Approach
  04104AK Bypass Abdominal Aorta to Bilateral Femoral Arteries with Autologous Arterial Tissue, Percutaneous Endoscopic Approach
  04104AQ Bypass Abdominal Aorta to Lower Extremity Artery with Autologous Arterial Tissue, Percutaneous Endoscopic Approach
  04104AR Bypass Abdominal Aorta to Lower Artery with Autologous Arterial Tissue, Percutaneous Endoscopic Approach
  04104J6 Bypass Abdominal Aorta to Right Common Iliac Artery with Synthetic Substitute, Percutaneous Endoscopic Approach
  04104J7 Bypass Abdominal Aorta to Left Common Iliac Artery with Synthetic Substitute, Percutaneous Endoscopic Approach
  04104J8 Bypass Abdominal Aorta to Bilateral Common Iliac Arteries with Synthetic Substitute, Percutaneous Endoscopic Approach
  04104J9 Bypass Abdominal Aorta to Right Internal Iliac Artery with Synthetic Substitute, Percutaneous Endoscopic Approach
  04104JB Bypass Abdominal Aorta to Left Internal Iliac Artery with Synthetic Substitute, Percutaneous Endoscopic Approach
  04104JC Bypass Abdominal Aorta to Bilateral Internal Iliac Arteries with Synthetic Substitute, Percutaneous Endoscopic Approach
  04104JD Bypass Abdominal Aorta to Right External Iliac Artery with Synthetic Substitute, Percutaneous Endoscopic Approach
  04104JF Bypass Abdominal Aorta to Left External Iliac Artery with Synthetic Substitute, Percutaneous Endoscopic Approach
  04104JG Bypass Abdominal Aorta to Bilateral External Iliac Arteries with Synthetic Substitute, Percutaneous Endoscopic Approach
  04104JH Bypass Abdominal Aorta to Right Femoral Artery with Synthetic Substitute, Percutaneous Endoscopic Approach
  04104JJ Bypass Abdominal Aorta to Left Femoral Artery with Synthetic Substitute, Percutaneous Endoscopic Approach
  04104JK Bypass Abdominal Aorta to Bilateral Femoral Arteries with Synthetic Substitute, Percutaneous Endoscopic Approach
  04104JQ Bypass Abdominal Aorta to Lower Extremity Artery with Synthetic Substitute, Percutaneous Endoscopic Approach
  04104JR Bypass Abdominal Aorta to Lower Artery with Synthetic Substitute, Percutaneous Endoscopic Approach
  04104K6 Bypass Abdominal Aorta to Right Common Iliac Artery with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach
  04104K7 Bypass Abdominal Aorta to Left Common Iliac Artery with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach
  04104K8 Bypass Abdominal Aorta to Bilateral Common Iliac Arteries with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach
  04104K9 Bypass Abdominal Aorta to Right Internal Iliac Artery with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach
  04104KB Bypass Abdominal Aorta to Left Internal Iliac Artery with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach
  04104KC Bypass Abdominal Aorta to Bilateral Internal Iliac Arteries with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach
  04104KD Bypass Abdominal Aorta to Right External Iliac Artery with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach
  04104KF Bypass Abdominal Aorta to Left External Iliac Artery with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach
  04104KG Bypass Abdominal Aorta to Bilateral External Iliac Arteries with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach
  04104KH Bypass Abdominal Aorta to Right Femoral Artery with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach
  04104KJ Bypass Abdominal Aorta to Left Femoral Artery with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach
  04104KK Bypass Abdominal Aorta to Bilateral Femoral Arteries with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach
  04104KQ Bypass Abdominal Aorta to Lower Extremity Artery with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach
  04104KR Bypass Abdominal Aorta to Lower Artery with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach
  04104Z6 Bypass Abdominal Aorta to Right Common Iliac Artery, Percutaneous Endoscopic Approach
  04104Z7 Bypass Abdominal Aorta to Left Common Iliac Artery, Percutaneous Endoscopic Approach
  04104Z8 Bypass Abdominal Aorta to Bilateral Common Iliac Arteries, Percutaneous Endoscopic Approach
  04104Z9 Bypass Abdominal Aorta to Right Internal Iliac Artery, Percutaneous Endoscopic Approach
  04104ZB Bypass Abdominal Aorta to Left Internal Iliac Artery, Percutaneous Endoscopic Approach
  04104ZC Bypass Abdominal Aorta to Bilateral Internal Iliac Arteries, Percutaneous Endoscopic Approach
  04104ZD Bypass Abdominal Aorta to Right External Iliac Artery, Percutaneous Endoscopic Approach
  04104ZF Bypass Abdominal Aorta to Left External Iliac Artery, Percutaneous Endoscopic Approach
  04104ZG Bypass Abdominal Aorta to Bilateral External Iliac Arteries, Percutaneous Endoscopic Approach
  04104ZH Bypass Abdominal Aorta to Right Femoral Artery, Percutaneous Endoscopic Approach
  04104ZJ Bypass Abdominal Aorta to Left Femoral Artery, Percutaneous Endoscopic Approach
  04104ZK Bypass Abdominal Aorta to Bilateral Femoral Arteries, Percutaneous Endoscopic Approach
  04104ZQ Bypass Abdominal Aorta to Lower Extremity Artery, Percutaneous Endoscopic Approach
  04104ZR Bypass Abdominal Aorta to Lower Artery, Percutaneous Endoscopic Approach
  041C09H Bypass Right Common Iliac Artery to Right Femoral Artery with Autologous Venous Tissue, Open Approach
  041C09J Bypass Right Common Iliac Artery to Left Femoral Artery with Autologous Venous Tissue, Open Approach
  041C09K Bypass Right Common Iliac Artery to Bilateral Femoral Arteries with Autologous Venous Tissue, Open Approach
  041C0AH Bypass Right Common Iliac Artery to Right Femoral Artery with Autologous Arterial Tissue, Open Approach
  041C0AJ Bypass Right Common Iliac Artery to Left Femoral Artery with Autologous Arterial Tissue, Open Approach
  041C0AK Bypass Right Common Iliac Artery to Bilateral Femoral Arteries with Autologous Arterial Tissue, Open Approach
  041C0JH Bypass Right Common Iliac Artery to Right Femoral Artery with Synthetic Substitute, Open Approach
  041C0JJ Bypass Right Common Iliac Artery to Left Femoral Artery with Synthetic Substitute, Open Approach
  041C0JK Bypass Right Common Iliac Artery to Bilateral Femoral Arteries with Synthetic Substitute, Open Approach
  041C0KH Bypass Right Common Iliac Artery to Right Femoral Artery with Nonautologous Tissue Substitute, Open Approach
  041C0KJ Bypass Right Common Iliac Artery to Left Femoral Artery with Nonautologous Tissue Substitute, Open Approach
  041C0KK Bypass Right Common Iliac Artery to Bilateral Femoral Arteries with Nonautologous Tissue Substitute, Open Approach
  041C0ZH Bypass Right Common Iliac Artery to Right Femoral Artery, Open Approach
  041C0ZJ Bypass Right Common Iliac Artery to Left Femoral Artery, Open Approach
  041C0ZK Bypass Right Common Iliac Artery to Bilateral Femoral Arteries, Open Approach
  041C49H Bypass Right Common Iliac Artery to Right Femoral Artery with Autologous Venous Tissue, Percutaneous Endoscopic Approach
  041C49J Bypass Right Common Iliac Artery to Left Femoral Artery with Autologous Venous Tissue, Percutaneous Endoscopic Approach
  041C49K Bypass Right Common Iliac Artery to Bilateral Femoral Arteries with Autologous Venous Tissue, Percutaneous Endoscopic Approach
  041C4AH Bypass Right Common Iliac Artery to Right Femoral Artery with Autologous Arterial Tissue, Percutaneous Endoscopic Approach
  041C4AJ Bypass Right Common Iliac Artery to Left Femoral Artery with Autologous Arterial Tissue, Percutaneous Endoscopic Approach
  041C4AK Bypass Right Common Iliac Artery to Bilateral Femoral Arteries with Autologous Arterial Tissue, Percutaneous Endoscopic Approach
  041C4JH Bypass Right Common Iliac Artery to Right Femoral Artery with Synthetic Substitute, Percutaneous Endoscopic Approach
  041C4JJ Bypass Right Common Iliac Artery to Left Femoral Artery with Synthetic Substitute, Percutaneous Endoscopic Approach
  041C4JK Bypass Right Common Iliac Artery to Bilateral Femoral Arteries with Synthetic Substitute, Percutaneous Endoscopic Approach
  041C4KH Bypass Right Common Iliac Artery to Right Femoral Artery with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach
  041C4KJ Bypass Right Common Iliac Artery to Left Femoral Artery with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach
  041C4KK Bypass Right Common Iliac Artery to Bilateral Femoral Arteries with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach
  041C4ZH Bypass Right Common Iliac Artery to Right Femoral Artery, Percutaneous Endoscopic Approach
  041C4ZJ Bypass Right Common Iliac Artery to Left Femoral Artery, Percutaneous Endoscopic Approach
  041C4ZK Bypass Right Common Iliac Artery to Bilateral Femoral Arteries, Percutaneous Endoscopic Approach
  041D09H Bypass Left Common Iliac Artery to Right Femoral Artery with Autologous Venous Tissue, Open Approach
  041D09J Bypass Left Common Iliac Artery to Left Femoral Artery with Autologous Venous Tissue, Open Approach
  041D09K Bypass Left Common Iliac Artery to Bilateral Femoral Arteries with Autologous Venous Tissue, Open Approach
  041D0AH Bypass Left Common Iliac Artery to Right Femoral Artery with Autologous Arterial Tissue, Open Approach
  041D0AJ Bypass Left Common Iliac Artery to Left Femoral Artery with Autologous Arterial Tissue, Open Approach
  041D0AK Bypass Left Common Iliac Artery to Bilateral Femoral Arteries with Autologous Arterial Tissue, Open Approach
  041D0JH Bypass Left Common Iliac Artery to Right Femoral Artery with Synthetic Substitute, Open Approach
  041D0JJ Bypass Left Common Iliac Artery to Left Femoral Artery with Synthetic Substitute, Open Approach
  041D0JK Bypass Left Common Iliac Artery to Bilateral Femoral Arteries with Synthetic Substitute, Open Approach
  041D0KH Bypass Left Common Iliac Artery to Right Femoral Artery with Nonautologous Tissue Substitute, Open Approach
  041D0KJ Bypass Left Common Iliac Artery to Left Femoral Artery with Nonautologous Tissue Substitute, Open Approach
  041D0KK Bypass Left Common Iliac Artery to Bilateral Femoral Arteries with Nonautologous Tissue Substitute, Open Approach
  041D0ZH Bypass Left Common Iliac Artery to Right Femoral Artery, Open Approach
  041D0ZJ Bypass Left Common Iliac Artery to Left Femoral Artery, Open Approach
  041D0ZK Bypass Left Common Iliac Artery to Bilateral Femoral Arteries, Open Approach
  041D49H Bypass Left Common Iliac Artery to Right Femoral Artery with Autologous Venous Tissue, Percutaneous Endoscopic Approach
  041D49J Bypass Left Common Iliac Artery to Left Femoral Artery with Autologous Venous Tissue, Percutaneous Endoscopic Approach
  041D49K Bypass Left Common Iliac Artery to Bilateral Femoral Arteries with Autologous Venous Tissue, Percutaneous Endoscopic Approach
  041D4AH Bypass Left Common Iliac Artery to Right Femoral Artery with Autologous Arterial Tissue, Percutaneous Endoscopic Approach
  041D4AJ Bypass Left Common Iliac Artery to Left Femoral Artery with Autologous Arterial Tissue, Percutaneous Endoscopic Approach
  041D4AK Bypass Left Common Iliac Artery to Bilateral Femoral Arteries with Autologous Arterial Tissue, Percutaneous Endoscopic Approach
  041D4JH Bypass Left Common Iliac Artery to Right Femoral Artery with Synthetic Substitute, Percutaneous Endoscopic Approach
  041D4JJ Bypass Left Common Iliac Artery to Left Femoral Artery with Synthetic Substitute, Percutaneous Endoscopic Approach
  041D4JK Bypass Left Common Iliac Artery to Bilateral Femoral Arteries with Synthetic Substitute, Percutaneous Endoscopic Approach
  041D4KH Bypass Left Common Iliac Artery to Right Femoral Artery with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach
  041D4KJ Bypass Left Common Iliac Artery to Left Femoral Artery with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach
  041D4KK Bypass Left Common Iliac Artery to Bilateral Femoral Arteries with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach
  041D4ZH Bypass Left Common Iliac Artery to Right Femoral Artery, Percutaneous Endoscopic Approach
  041D4ZJ Bypass Left Common Iliac Artery to Left Femoral Artery, Percutaneous Endoscopic Approach
  041D4ZK Bypass Left Common Iliac Artery to Bilateral Femoral Arteries, Percutaneous Endoscopic Approach
  041E09H Bypass Right Internal Iliac Artery to Right Femoral Artery with Autologous Venous Tissue, Open Approach
  041E09J Bypass Right Internal Iliac Artery to Left Femoral Artery with Autologous Venous Tissue, Open Approach
  041E09K Bypass Right Internal Iliac Artery to Bilateral Femoral Arteries with Autologous Venous Tissue, Open Approach
  041E0AH Bypass Right Internal Iliac Artery to Right Femoral Artery with Autologous Arterial Tissue, Open Approach
  041E0AJ Bypass Right Internal Iliac Artery to Left Femoral Artery with Autologous Arterial Tissue, Open Approach
  041E0AK Bypass Right Internal Iliac Artery to Bilateral Femoral Arteries with Autologous Arterial Tissue, Open Approach
  041E0JH Bypass Right Internal Iliac Artery to Right Femoral Artery with Synthetic Substitute, Open Approach
  041E0JJ Bypass Right Internal Iliac Artery to Left Femoral Artery with Synthetic Substitute, Open Approach
  041E0JK Bypass Right Internal Iliac Artery to Bilateral Femoral Arteries with Synthetic Substitute, Open Approach
  041E0KH Bypass Right Internal Iliac Artery to Right Femoral Artery with Nonautologous Tissue Substitute, Open Approach
  041E0KJ Bypass Right Internal Iliac Artery to Left Femoral Artery with Nonautologous Tissue Substitute, Open Approach
  041E0KK Bypass Right Internal Iliac Artery to Bilateral Femoral Arteries with Nonautologous Tissue Substitute, Open Approach
  041E0ZH Bypass Right Internal Iliac Artery to Right Femoral Artery, Open Approach
  041E0ZJ Bypass Right Internal Iliac Artery to Left Femoral Artery, Open Approach
  041E0ZK Bypass Right Internal Iliac Artery to Bilateral Femoral Arteries, Open Approach
  041E49H Bypass Right Internal Iliac Artery to Right Femoral Artery with Autologous Venous Tissue, Percutaneous Endoscopic Approach
  041E49J Bypass Right Internal Iliac Artery to Left Femoral Artery with Autologous Venous Tissue, Percutaneous Endoscopic Approach
  041E49K Bypass Right Internal Iliac Artery to Bilateral Femoral Arteries with Autologous Venous Tissue, Percutaneous Endoscopic Approach
  041E4AH Bypass Right Internal Iliac Artery to Right Femoral Artery with Autologous Arterial Tissue, Percutaneous Endoscopic Approach
  041E4AJ Bypass Right Internal Iliac Artery to Left Femoral Artery with Autologous Arterial Tissue, Percutaneous Endoscopic Approach
  041E4AK Bypass Right Internal Iliac Artery to Bilateral Femoral Arteries with Autologous Arterial Tissue, Percutaneous Endoscopic Approach
  041E4JH Bypass Right Internal Iliac Artery to Right Femoral Artery with Synthetic Substitute, Percutaneous Endoscopic Approach
  041E4JJ Bypass Right Internal Iliac Artery to Left Femoral Artery with Synthetic Substitute, Percutaneous Endoscopic Approach
  041E4JK Bypass Right Internal Iliac Artery to Bilateral Femoral Arteries with Synthetic Substitute, Percutaneous Endoscopic Approach
  041E4KH Bypass Right Internal Iliac Artery to Right Femoral Artery with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach
  041E4KJ Bypass Right Internal Iliac Artery to Left Femoral Artery with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach
  041E4KK Bypass Right Internal Iliac Artery to Bilateral Femoral Arteries with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach
  041E4ZH Bypass Right Internal Iliac Artery to Right Femoral Artery, Percutaneous Endoscopic Approach
  041E4ZJ Bypass Right Internal Iliac Artery to Left Femoral Artery, Percutaneous Endoscopic Approach
  041E4ZK Bypass Right Internal Iliac Artery to Bilateral Femoral Arteries, Percutaneous Endoscopic Approach
  041F09H Bypass Left Internal Iliac Artery to Right Femoral Artery with Autologous Venous Tissue, Open Approach
  041F09J Bypass Left Internal Iliac Artery to Left Femoral Artery with Autologous Venous Tissue, Open Approach
  041F09K Bypass Left Internal Iliac Artery to Bilateral Femoral Arteries with Autologous Venous Tissue, Open Approach
  041F0AH Bypass Left Internal Iliac Artery to Right Femoral Artery with Autologous Arterial Tissue, Open Approach
  041F0AJ Bypass Left Internal Iliac Artery to Left Femoral Artery with Autologous Arterial Tissue, Open Approach
  041F0AK Bypass Left Internal Iliac Artery to Bilateral Femoral Arteries with Autologous Arterial Tissue, Open Approach
  041F0JH Bypass Left Internal Iliac Artery to Right Femoral Artery with Synthetic Substitute, Open Approach
  041F0JJ Bypass Left Internal Iliac Artery to Left Femoral Artery with Synthetic Substitute, Open Approach
  041F0JK Bypass Left Internal Iliac Artery to Bilateral Femoral Arteries with Synthetic Substitute, Open Approach
  041F0KH Bypass Left Internal Iliac Artery to Right Femoral Artery with Nonautologous Tissue Substitute, Open Approach
  041F0KJ Bypass Left Internal Iliac Artery to Left Femoral Artery with Nonautologous Tissue Substitute, Open Approach
  041F0KK Bypass Left Internal Iliac Artery to Bilateral Femoral Arteries with Nonautologous Tissue Substitute, Open Approach
  041F0ZH Bypass Left Internal Iliac Artery to Right Femoral Artery, Open Approach
  041F0ZJ Bypass Left Internal Iliac Artery to Left Femoral Artery, Open Approach
  041F0ZK Bypass Left Internal Iliac Artery to Bilateral Femoral Arteries, Open Approach
  041F49H Bypass Left Internal Iliac Artery to Right Femoral Artery with Autologous Venous Tissue, Percutaneous Endoscopic Approach
  041F49J Bypass Left Internal Iliac Artery to Left Femoral Artery with Autologous Venous Tissue, Percutaneous Endoscopic Approach
  041F49K Bypass Left Internal Iliac Artery to Bilateral Femoral Arteries with Autologous Venous Tissue, Percutaneous Endoscopic Approach
  041F4AH Bypass Left Internal Iliac Artery to Right Femoral Artery with Autologous Arterial Tissue, Percutaneous Endoscopic Approach
  041F4AJ Bypass Left Internal Iliac Artery to Left Femoral Artery with Autologous Arterial Tissue, Percutaneous Endoscopic Approach
  041F4AK Bypass Left Internal Iliac Artery to Bilateral Femoral Arteries with Autologous Arterial Tissue, Percutaneous Endoscopic Approach
  041F4JH Bypass Left Internal Iliac Artery to Right Femoral Artery with Synthetic Substitute, Percutaneous Endoscopic Approach
  041F4JJ Bypass Left Internal Iliac Artery to Left Femoral Artery with Synthetic Substitute, Percutaneous Endoscopic Approach
  041F4JK Bypass Left Internal Iliac Artery to Bilateral Femoral Arteries with Synthetic Substitute, Percutaneous Endoscopic Approach
  041F4KH Bypass Left Internal Iliac Artery to Right Femoral Artery with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach
  041F4KJ Bypass Left Internal Iliac Artery to Left Femoral Artery with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach
  041F4KK Bypass Left Internal Iliac Artery to Bilateral Femoral Arteries with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach
  041F4ZH Bypass Left Internal Iliac Artery to Right Femoral Artery, Percutaneous Endoscopic Approach
  041F4ZJ Bypass Left Internal Iliac Artery to Left Femoral Artery, Percutaneous Endoscopic Approach
  041F4ZK Bypass Left Internal Iliac Artery to Bilateral Femoral Arteries, Percutaneous Endoscopic Approach
  041H09H Bypass Right External Iliac Artery to Right Femoral Artery with Autologous Venous Tissue, Open Approach
  041H09J Bypass Right External Iliac Artery to Left Femoral Artery with Autologous Venous Tissue, Open Approach
  041H09K Bypass Right External Iliac Artery to Bilateral Femoral Arteries with Autologous Venous Tissue, Open Approach
  041H0AH Bypass Right External Iliac Artery to Right Femoral Artery with Autologous Arterial Tissue, Open Approach
  041H0AJ Bypass Right External Iliac Artery to Left Femoral Artery with Autologous Arterial Tissue, Open Approach
  041H0AK Bypass Right External Iliac Artery to Bilateral Femoral Arteries with Autologous Arterial Tissue, Open Approach
  041H0JH Bypass Right External Iliac Artery to Right Femoral Artery with Synthetic Substitute, Open Approach
  041H0JJ Bypass Right External Iliac Artery to Left Femoral Artery with Synthetic Substitute, Open Approach
  041H0JK Bypass Right External Iliac Artery to Bilateral Femoral Arteries with Synthetic Substitute, Open Approach
  041H0KH Bypass Right External Iliac Artery to Right Femoral Artery with Nonautologous Tissue Substitute, Open Approach
  041H0KJ Bypass Right External Iliac Artery to Left Femoral Artery with Nonautologous Tissue Substitute, Open Approach
  041H0KK Bypass Right External Iliac Artery to Bilateral Femoral Arteries with Nonautologous Tissue Substitute, Open Approach
  041H0ZH Bypass Right External Iliac Artery to Right Femoral Artery, Open Approach
  041H0ZJ Bypass Right External Iliac Artery to Left Femoral Artery, Open Approach
  041H0ZK Bypass Right External Iliac Artery to Bilateral Femoral Arteries, Open Approach
  041H49H Bypass Right External Iliac Artery to Right Femoral Artery with Autologous Venous Tissue, Percutaneous Endoscopic Approach
  041H49J Bypass Right External Iliac Artery to Left Femoral Artery with Autologous Venous Tissue, Percutaneous Endoscopic Approach
  041H49K Bypass Right External Iliac Artery to Bilateral Femoral Arteries with Autologous Venous Tissue, Percutaneous Endoscopic Approach
  041H4AH Bypass Right External Iliac Artery to Right Femoral Artery with Autologous Arterial Tissue, Percutaneous Endoscopic Approach
  041H4AJ Bypass Right External Iliac Artery to Left Femoral Artery with Autologous Arterial Tissue, Percutaneous Endoscopic Approach
  041H4AK Bypass Right External Iliac Artery to Bilateral Femoral Arteries with Autologous Arterial Tissue, Percutaneous Endoscopic Approach
  041H4JH Bypass Right External Iliac Artery to Right Femoral Artery with Synthetic Substitute, Percutaneous Endoscopic Approach
  041H4JJ Bypass Right External Iliac Artery to Left Femoral Artery with Synthetic Substitute, Percutaneous Endoscopic Approach
  041H4JK Bypass Right External Iliac Artery to Bilateral Femoral Arteries with Synthetic Substitute, Percutaneous Endoscopic Approach
  041H4KH Bypass Right External Iliac Artery to Right Femoral Artery with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach
  041H4KJ Bypass Right External Iliac Artery to Left Femoral Artery with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach
  041H4KK Bypass Right External Iliac Artery to Bilateral Femoral Arteries with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach
  041H4ZH Bypass Right External Iliac Artery to Right Femoral Artery, Percutaneous Endoscopic Approach
  041H4ZJ Bypass Right External Iliac Artery to Left Femoral Artery, Percutaneous Endoscopic Approach
  041H4ZK Bypass Right External Iliac Artery to Bilateral Femoral Arteries, Percutaneous Endoscopic Approach
  041J09H Bypass Left External Iliac Artery to Right Femoral Artery with Autologous Venous Tissue, Open Approach
  041J09J Bypass Left External Iliac Artery to Left Femoral Artery with Autologous Venous Tissue, Open Approach
  041J09K Bypass Left External Iliac Artery to Bilateral Femoral Arteries with Autologous Venous Tissue, Open Approach
  041J0AH Bypass Left External Iliac Artery to Right Femoral Artery with Autologous Arterial Tissue, Open Approach
  041J0AJ Bypass Left External Iliac Artery to Left Femoral Artery with Autologous Arterial Tissue, Open Approach
  041J0AK Bypass Left External Iliac Artery to Bilateral Femoral Arteries with Autologous Arterial Tissue, Open Approach
  041J0JH Bypass Left External Iliac Artery to Right Femoral Artery with Synthetic Substitute, Open Approach
  041J0JJ Bypass Left External Iliac Artery to Left Femoral Artery with Synthetic Substitute, Open Approach
  041J0JK Bypass Left External Iliac Artery to Bilateral Femoral Arteries with Synthetic Substitute, Open Approach
  041J0KH Bypass Left External Iliac Artery to Right Femoral Artery with Nonautologous Tissue Substitute, Open Approach
  041J0KJ Bypass Left External Iliac Artery to Left Femoral Artery with Nonautologous Tissue Substitute, Open Approach
  041J0KK Bypass Left External Iliac Artery to Bilateral Femoral Arteries with Nonautologous Tissue Substitute, Open Approach
  041J0ZH Bypass Left External Iliac Artery to Right Femoral Artery, Open Approach
  041J0ZJ Bypass Left External Iliac Artery to Left Femoral Artery, Open Approach
  041J0ZK Bypass Left External Iliac Artery to Bilateral Femoral Arteries, Open Approach
  041J49H Bypass Left External Iliac Artery to Right Femoral Artery with Autologous Venous Tissue, Percutaneous Endoscopic Approach
  041J49J Bypass Left External Iliac Artery to Left Femoral Artery with Autologous Venous Tissue, Percutaneous Endoscopic Approach
  041J49K Bypass Left External Iliac Artery to Bilateral Femoral Arteries with Autologous Venous Tissue, Percutaneous Endoscopic Approach
  041J4AH Bypass Left External Iliac Artery to Right Femoral Artery with Autologous Arterial Tissue, Percutaneous Endoscopic Approach
  041J4AJ Bypass Left External Iliac Artery to Left Femoral Artery with Autologous Arterial Tissue, Percutaneous Endoscopic Approach
