:======================================================================:
|    MDC 12 Diseases and Disorders of the Male Reproductive System     |
:======================================================================:

MDC 12 Assignment of Diagnosis Codes

  A1814   Tuberculosis of prostate
  S75892A Other specified injury of other blood vessels at hip and thigh level, left leg, initial encounter
  S75899A Other specified injury of other blood vessels at hip and thigh level, unspecified leg, initial encounter
  S75901A Unspecified injury of unspecified blood vessel at hip and thigh level, right leg, initial encounter
  S75902A Unspecified injury of unspecified blood vessel at hip and thigh level, left leg, initial encounter
  S75909A Unspecified injury of unspecified blood vessel at hip and thigh level, unspecified leg, initial encounter
  S75911A Laceration of unspecified blood vessel at hip and thigh level, right leg, initial encounter
  S75912A Laceration of unspecified blood vessel at hip and thigh level, left leg, initial encounter
  S75919A Laceration of unspecified blood vessel at hip and thigh level, unspecified leg, initial encounter
  S75991A Other specified injury of unspecified blood vessel at hip and thigh level, right leg, initial encounter
  S75992A Other specified injury of unspecified blood vessel at hip and thigh level, left leg, initial encounter
  S75999A Other specified injury of unspecified blood vessel at hip and thigh level, unspecified leg, initial encounter
  S76001A Unspecified injury of muscle, fascia and tendon of right hip, initial encounter
  S76001S Unspecified injury of muscle, fascia and tendon of right hip, sequela
  S76002A Unspecified injury of muscle, fascia and tendon of left hip, initial encounter
  S76002S Unspecified injury of muscle, fascia and tendon of left hip, sequela
  S76009A Unspecified injury of muscle, fascia and tendon of unspecified hip, initial encounter
  S76009S Unspecified injury of muscle, fascia and tendon of unspecified hip, sequela
  S76091A Other specified injury of muscle, fascia and tendon of right hip, initial encounter
  S76091S Other specified injury of muscle, fascia and tendon of right hip, sequela
  S76092A Other specified injury of muscle, fascia and tendon of left hip, initial encounter
  S76092S Other specified injury of muscle, fascia and tendon of left hip, sequela
  S76099A Other specified injury of muscle, fascia and tendon of unspecified hip, initial encounter
  S76099S Other specified injury of muscle, fascia and tendon of unspecified hip, sequela
  S76101A Unspecified injury of right quadriceps muscle, fascia and tendon, initial encounter
  S76101S Unspecified injury of right quadriceps muscle, fascia and tendon, sequela
  S76102A Unspecified injury of left quadriceps muscle, fascia and tendon, initial encounter
  S76102S Unspecified injury of left quadriceps muscle, fascia and tendon, sequela
  S76109A Unspecified injury of unspecified quadriceps muscle, fascia and tendon, initial encounter
  S76109S Unspecified injury of unspecified quadriceps muscle, fascia and tendon, sequela
  S76191A Other specified injury of right quadriceps muscle, fascia and tendon, initial encounter
  S76191S Other specified injury of right quadriceps muscle, fascia and tendon, sequela
  S76192A Other specified injury of left quadriceps muscle, fascia and tendon, initial encounter
  S76192S Other specified injury of left quadriceps muscle, fascia and tendon, sequela
  S76199A Other specified injury of unspecified quadriceps muscle, fascia and tendon, initial encounter
  S76199S Other specified injury of unspecified quadriceps muscle, fascia and tendon, sequela
  S76201A Unspecified injury of adductor muscle, fascia and tendon of right thigh, initial encounter
  S76201S Unspecified injury of adductor muscle, fascia and tendon of right thigh, sequela
  S76202A Unspecified injury of adductor muscle, fascia and tendon of left thigh, initial encounter
  S76202S Unspecified injury of adductor muscle, fascia and tendon of left thigh, sequela
  S76209A Unspecified injury of adductor muscle, fascia and tendon of unspecified thigh, initial encounter
  S76209S Unspecified injury of adductor muscle, fascia and tendon of unspecified thigh, sequela
  S76291A Other injury of adductor muscle, fascia and tendon of right thigh, initial encounter
  S76291S Other injury of adductor muscle, fascia and tendon of right thigh, sequela
  S76292A Other injury of adductor muscle, fascia and tendon of left thigh, initial encounter
  S76292S Other injury of adductor muscle, fascia and tendon of left thigh, sequela
  S76299A Other injury of adductor muscle, fascia and tendon of unspecified thigh, initial encounter
  S76299S Other injury of adductor muscle, fascia and tendon of unspecified thigh, sequela
  S76301A Unspecified injury of muscle, fascia and tendon of the posterior muscle group at thigh level, right thigh, initial encounter
  S76301S Unspecified injury of muscle, fascia and tendon of the posterior muscle group at thigh level, right thigh, sequela
  S76302A Unspecified injury of muscle, fascia and tendon of the posterior muscle group at thigh level, left thigh, initial encounter
  S76302S Unspecified injury of muscle, fascia and tendon of the posterior muscle group at thigh level, left thigh, sequela
  S76309A Unspecified injury of muscle, fascia and tendon of the posterior muscle group at thigh level, unspecified thigh, initial encounter
  S76309S Unspecified injury of muscle, fascia and tendon of the posterior muscle group at thigh level, unspecified thigh, sequela
  S76391A Other specified injury of muscle, fascia and tendon of the posterior muscle group at thigh level, right thigh, initial encounter
  S76391S Other specified injury of muscle, fascia and tendon of the posterior muscle group at thigh level, right thigh, sequela
  S76392A Other specified injury of muscle, fascia and tendon of the posterior muscle group at thigh level, left thigh, initial encounter
  S76392S Other specified injury of muscle, fascia and tendon of the posterior muscle group at thigh level, left thigh, sequela
  S76399A Other specified injury of muscle, fascia and tendon of the posterior muscle group at thigh level, unspecified thigh, initial encounter
  S76399S Other specified injury of muscle, fascia and tendon of the posterior muscle group at thigh level, unspecified thigh, sequela
  S76801A Unspecified injury of other specified muscles, fascia and tendons at thigh level, right thigh, initial encounter
  S76801S Unspecified injury of other specified muscles, fascia and tendons at thigh level, right thigh, sequela
  S76802A Unspecified injury of other specified muscles, fascia and tendons at thigh level, left thigh, initial encounter
  S76802S Unspecified injury of other specified muscles, fascia and tendons at thigh level, left thigh, sequela
  S76809A Unspecified injury of other specified muscles, fascia and tendons at thigh level, unspecified thigh, initial encounter
  S76809S Unspecified injury of other specified muscles, fascia and tendons at thigh level, unspecified thigh, sequela
  S76891A Other injury of other specified muscles, fascia and tendons at thigh level, right thigh, initial encounter
  S76891S Other injury of other specified muscles, fascia and tendons at thigh level, right thigh, sequela
  S76892A Other injury of other specified muscles, fascia and tendons at thigh level, left thigh, initial encounter
  S76892S Other injury of other specified muscles, fascia and tendons at thigh level, left thigh, sequela
  S76899A Other injury of other specified muscles, fascia and tendons at thigh level, unspecified thigh, initial encounter
  S76899S Other injury of other specified muscles, fascia and tendons at thigh level, unspecified thigh, sequela
  S76901A Unspecified injury of unspecified muscles, fascia and tendons at thigh level, right thigh, initial encounter
  S76901S Unspecified injury of unspecified muscles, fascia and tendons at thigh level, right thigh, sequela
  S76902A Unspecified injury of unspecified muscles, fascia and tendons at thigh level, left thigh, initial encounter
  S76902S Unspecified injury of unspecified muscles, fascia and tendons at thigh level, left thigh, sequela
  S76909A Unspecified injury of unspecified muscles, fascia and tendons at thigh level, unspecified thigh, initial encounter
  S76909S Unspecified injury of unspecified muscles, fascia and tendons at thigh level, unspecified thigh, sequela
  S76991A Other specified injury of unspecified muscles, fascia and tendons at thigh level, right thigh, initial encounter
  S76991S Other specified injury of unspecified muscles, fascia and tendons at thigh level, right thigh, sequela
  S76992A Other specified injury of unspecified muscles, fascia and tendons at thigh level, left thigh, initial encounter
  S76992S Other specified injury of unspecified muscles, fascia and tendons at thigh level, left thigh, sequela
  S76999A Other specified injury of unspecified muscles, fascia and tendons at thigh level, unspecified thigh, initial encounter
  S76999S Other specified injury of unspecified muscles, fascia and tendons at thigh level, unspecified thigh, sequela
  S7700XA Crushing injury of unspecified hip, initial encounter
  S7701XA Crushing injury of right hip, initial encounter
  S7702XA Crushing injury of left hip, initial encounter
  S7710XA Crushing injury of unspecified thigh, initial encounter
  S7711XA Crushing injury of right thigh, initial encounter
  S7712XA Crushing injury of left thigh, initial encounter
  S7720XA Crushing injury of unspecified hip with thigh, initial encounter
  S7721XA Crushing injury of right hip with thigh, initial encounter
  S7722XA Crushing injury of left hip with thigh, initial encounter
  S78011A Complete traumatic amputation at right hip joint, initial encounter
  S78012A Complete traumatic amputation at left hip joint, initial encounter
  S78019A Complete traumatic amputation at unspecified hip joint, initial encounter
  S78021A Partial traumatic amputation at right hip joint, initial encounter
  S78022A Partial traumatic amputation at left hip joint, initial encounter
  S78029A Partial traumatic amputation at unspecified hip joint, initial encounter
  S78111A Complete traumatic amputation at level between right hip and knee, initial encounter
  S78112A Complete traumatic amputation at level between left hip and knee, initial encounter
  S78119A Complete traumatic amputation at level between unspecified hip and knee, initial encounter
  S78121A Partial traumatic amputation at level between right hip and knee, initial encounter
  S78122A Partial traumatic amputation at level between left hip and knee, initial encounter
  S78129A Partial traumatic amputation at level between unspecified hip and knee, initial encounter
  S78911A Complete traumatic amputation of right hip and thigh, level unspecified, initial encounter
  S78912A Complete traumatic amputation of left hip and thigh, level unspecified, initial encounter
  S78919A Complete traumatic amputation of unspecified hip and thigh, level unspecified, initial encounter
  S78921A Partial traumatic amputation of right hip and thigh, level unspecified, initial encounter
  S78922A Partial traumatic amputation of left hip and thigh, level unspecified, initial encounter
  S78929A Partial traumatic amputation of unspecified hip and thigh, level unspecified, initial encounter
  S79811A Other specified injuries of right hip, initial encounter
  S79811S Other specified injuries of right hip, sequela
  S79812A Other specified injuries of left hip, initial encounter
  S79812S Other specified injuries of left hip, sequela
  S79819A Other specified injuries of unspecified hip, initial encounter
  S79819S Other specified injuries of unspecified hip, sequela
  S79821A Other specified injuries of right thigh, initial encounter
  S79821S Other specified injuries of right thigh, sequela
  S79822A Other specified injuries of left thigh, initial encounter
  S79822S Other specified injuries of left thigh, sequela
  S79829A Other specified injuries of unspecified thigh, initial encounter
  S79829S Other specified injuries of unspecified thigh, sequela
  S79911A Unspecified injury of right hip, initial encounter
  S79911S Unspecified injury of right hip, sequela
  S79912A Unspecified injury of left hip, initial encounter
  S79912S Unspecified injury of left hip, sequela
  S79919A Unspecified injury of unspecified hip, initial encounter
  S79919S Unspecified injury of unspecified hip, sequela
  S79921A Unspecified injury of right thigh, initial encounter
  S79921S Unspecified injury of right thigh, sequela
  S79922A Unspecified injury of left thigh, initial encounter
  S79922S Unspecified injury of left thigh, sequela
  S79929A Unspecified injury of unspecified thigh, initial encounter
  S79929S Unspecified injury of unspecified thigh, sequela
  S81021A Laceration with foreign body, right knee, initial encounter
  S81022A Laceration with foreign body, left knee, initial encounter
  S81029A Laceration with foreign body, unspecified knee, initial encounter
  S81041A Puncture wound with foreign body, right knee, initial encounter
  S81042A Puncture wound with foreign body, left knee, initial encounter
  S81049A Puncture wound with foreign body, unspecified knee, initial encounter
  S81821A Laceration with foreign body, right lower leg, initial encounter
  S81822A Laceration with foreign body, left lower leg, initial encounter
  S81829A Laceration with foreign body, unspecified lower leg, initial encounter
  S81841A Puncture wound with foreign body, right lower leg, initial encounter
  S81842A Puncture wound with foreign body, left lower leg, initial encounter
  S81849A Puncture wound with foreign body, unspecified lower leg, initial encounter
  S85001A Unspecified injury of popliteal artery, right leg, initial encounter
  S85002A Unspecified injury of popliteal artery, left leg, initial encounter
  S85009A Unspecified injury of popliteal artery, unspecified leg, initial encounter
  S85011A Laceration of popliteal artery, right leg, initial encounter
  S85012A Laceration of popliteal artery, left leg, initial encounter
  S85019A Laceration of popliteal artery, unspecified leg, initial encounter
  S85091A Other specified injury of popliteal artery, right leg, initial encounter
  S85092A Other specified injury of popliteal artery, left leg, initial encounter
  S85099A Other specified injury of popliteal artery, unspecified leg, initial encounter
  S85101A Unspecified injury of unspecified tibial artery, right leg, initial encounter
  S85102A Unspecified injury of unspecified tibial artery, left leg, initial encounter
  S85109A Unspecified injury of unspecified tibial artery, unspecified leg, initial encounter
  S85111A Laceration of unspecified tibial artery, right leg, initial encounter
  S85112A Laceration of unspecified tibial artery, left leg, initial encounter
  S85119A Laceration of unspecified tibial artery, unspecified leg, initial encounter
  S85121A Other specified injury of unspecified tibial artery, right leg, initial encounter
  S85122A Other specified injury of unspecified tibial artery, left leg, initial encounter
  S85129A Other specified injury of unspecified tibial artery, unspecified leg, initial encounter
  S85131A Unspecified injury of anterior tibial artery, right leg, initial encounter
  S85132A Unspecified injury of anterior tibial artery, left leg, initial encounter
  S85139A Unspecified injury of anterior tibial artery, unspecified leg, initial encounter
  S85141A Laceration of anterior tibial artery, right leg, initial encounter
  S85142A Laceration of anterior tibial artery, left leg, initial encounter
  S85149A Laceration of anterior tibial artery, unspecified leg, initial encounter
  S85151A Other specified injury of anterior tibial artery, right leg, initial encounter
  S85152A Other specified injury of anterior tibial artery, left leg, initial encounter
  S85159A Other specified injury of anterior tibial artery, unspecified leg, initial encounter
  S85161A Unspecified injury of posterior tibial artery, right leg, initial encounter
  S85162A Unspecified injury of posterior tibial artery, left leg, initial encounter
  S85169A Unspecified injury of posterior tibial artery, unspecified leg, initial encounter
  S85171A Laceration of posterior tibial artery, right leg, initial encounter
  S85172A Laceration of posterior tibial artery, left leg, initial encounter
  S85179A Laceration of posterior tibial artery, unspecified leg, initial encounter
  S85181A Other specified injury of posterior tibial artery, right leg, initial encounter
  S85182A Other specified injury of posterior tibial artery, left leg, initial encounter
  S85189A Other specified injury of posterior tibial artery, unspecified leg, initial encounter
  S85201A Unspecified injury of peroneal artery, right leg, initial encounter
  S85202A Unspecified injury of peroneal artery, left leg, initial encounter
  S85209A Unspecified injury of peroneal artery, unspecified leg, initial encounter
  S85211A Laceration of peroneal artery, right leg, initial encounter
  S85212A Laceration of peroneal artery, left leg, initial encounter
  S85219A Laceration of peroneal artery, unspecified leg, initial encounter
  S85291A Other specified injury of peroneal artery, right leg, initial encounter
  S85292A Other specified injury of peroneal artery, left leg, initial encounter
  S85299A Other specified injury of peroneal artery, unspecified leg, initial encounter
  S85301A Unspecified injury of greater saphenous vein at lower leg level, right leg, initial encounter
  S85302A Unspecified injury of greater saphenous vein at lower leg level, left leg, initial encounter
  S85309A Unspecified injury of greater saphenous vein at lower leg level, unspecified leg, initial encounter
  S85311A Laceration of greater saphenous vein at lower leg level, right leg, initial encounter
  S85312A Laceration of greater saphenous vein at lower leg level, left leg, initial encounter
  S85319A Laceration of greater saphenous vein at lower leg level, unspecified leg, initial encounter
  S85391A Other specified injury of greater saphenous vein at lower leg level, right leg, initial encounter
  S85392A Other specified injury of greater saphenous vein at lower leg level, left leg, initial encounter
  S85399A Other specified injury of greater saphenous vein at lower leg level, unspecified leg, initial encounter
  S85401A Unspecified injury of lesser saphenous vein at lower leg level, right leg, initial encounter
  S85402A Unspecified injury of lesser saphenous vein at lower leg level, left leg, initial encounter
  S85409A Unspecified injury of lesser saphenous vein at lower leg level, unspecified leg, initial encounter
  S85411A Laceration of lesser saphenous vein at lower leg level, right leg, initial encounter
  S85412A Laceration of lesser saphenous vein at lower leg level, left leg, initial encounter
  S85419A Laceration of lesser saphenous vein at lower leg level, unspecified leg, initial encounter
  S85491A Other specified injury of lesser saphenous vein at lower leg level, right leg, initial encounter
  S85492A Other specified injury of lesser saphenous vein at lower leg level, left leg, initial encounter
  S85499A Other specified injury of lesser saphenous vein at lower leg level, unspecified leg, initial encounter
  S85501A Unspecified injury of popliteal vein, right leg, initial encounter
  S85502A Unspecified injury of popliteal vein, left leg, initial encounter
  S85509A Unspecified injury of popliteal vein, unspecified leg, initial encounter
  S85511A Laceration of popliteal vein, right leg, initial encounter
  S85512A Laceration of popliteal vein, left leg, initial encounter
  S85519A Laceration of popliteal vein, unspecified leg, initial encounter
  S85591A Other specified injury of popliteal vein, right leg, initial encounter
  S85592A Other specified injury of popliteal vein, left leg, initial encounter
  S85599A Other specified injury of popliteal vein, unspecified leg, initial encounter
  S85801A Unspecified injury of other blood vessels at lower leg level, right leg, initial encounter
  S85802A Unspecified injury of other blood vessels at lower leg level, left leg, initial encounter
  S85809A Unspecified injury of other blood vessels at lower leg level, unspecified leg, initial encounter
  S85811A Laceration of other blood vessels at lower leg level, right leg, initial encounter
  S85812A Laceration of other blood vessels at lower leg level, left leg, initial encounter
  S85819A Laceration of other blood vessels at lower leg level, unspecified leg, initial encounter
  S85891A Other specified injury of other blood vessels at lower leg level, right leg, initial encounter
  S85892A Other specified injury of other blood vessels at lower leg level, left leg, initial encounter
  S85899A Other specified injury of other blood vessels at lower leg level, unspecified leg, initial encounter
  S85901A Unspecified injury of unspecified blood vessel at lower leg level, right leg, initial encounter
  S85902A Unspecified injury of unspecified blood vessel at lower leg level, left leg, initial encounter
  S85909A Unspecified injury of unspecified blood vessel at lower leg level, unspecified leg, initial encounter
  S85911A Laceration of unspecified blood vessel at lower leg level, right leg, initial encounter
  S85912A Laceration of unspecified blood vessel at lower leg level, left leg, initial encounter
  S85919A Laceration of unspecified blood vessel at lower leg level, unspecified leg, initial encounter
  S85991A Other specified injury of unspecified blood vessel at lower leg level, right leg, initial encounter
  S85992A Other specified injury of unspecified blood vessel at lower leg level, left leg, initial encounter
  S85999A Other specified injury of unspecified blood vessel at lower leg level, unspecified leg, initial encounter
  S86001A Unspecified injury of right Achilles tendon, initial encounter
  S86001S Unspecified injury of right Achilles tendon, sequela
  S86002A Unspecified injury of left Achilles tendon, initial encounter
  S86002S Unspecified injury of left Achilles tendon, sequela
  S86009A Unspecified injury of unspecified Achilles tendon, initial encounter
  S86009S Unspecified injury of unspecified Achilles tendon, sequela
  S86091A Other specified injury of right Achilles tendon, initial encounter
  S86091S Other specified injury of right Achilles tendon, sequela
  S86092A Other specified injury of left Achilles tendon, initial encounter
  S86092S Other specified injury of left Achilles tendon, sequela
  S86099A Other specified injury of unspecified Achilles tendon, initial encounter
  S86099S Other specified injury of unspecified Achilles tendon, sequela
  S86101A Unspecified injury of other muscle(s) and tendon(s) of posterior muscle group at lower leg level, right leg, initial encounter
  S86101S Unspecified injury of other muscle(s) and tendon(s) of posterior muscle group at lower leg level, right leg, sequela
  S86102A Unspecified injury of other muscle(s) and tendon(s) of posterior muscle group at lower leg level, left leg, initial encounter
  S86102S Unspecified injury of other muscle(s) and tendon(s) of posterior muscle group at lower leg level, left leg, sequela
  S86109A Unspecified injury of other muscle(s) and tendon(s) of posterior muscle group at lower leg level, unspecified leg, initial encounter
  S86109S Unspecified injury of other muscle(s) and tendon(s) of posterior muscle group at lower leg level, unspecified leg, sequela
  S86191A Other injury of other muscle(s) and tendon(s) of posterior muscle group at lower leg level, right leg, initial encounter
  S86191S Other injury of other muscle(s) and tendon(s) of posterior muscle group at lower leg level, right leg, sequela
  S86192A Other injury of other muscle(s) and tendon(s) of posterior muscle group at lower leg level, left leg, initial encounter
  S86192S Other injury of other muscle(s) and tendon(s) of posterior muscle group at lower leg level, left leg, sequela
  S86199A Other injury of other muscle(s) and tendon(s) of posterior muscle group at lower leg level, unspecified leg, initial encounter
  S86199S Other injury of other muscle(s) and tendon(s) of posterior muscle group at lower leg level, unspecified leg, sequela
  S86201A Unspecified injury of muscle(s) and tendon(s) of anterior muscle group at lower leg level, right leg, initial encounter
  S86201S Unspecified injury of muscle(s) and tendon(s) of anterior muscle group at lower leg level, right leg, sequela
  S86202A Unspecified injury of muscle(s) and tendon(s) of anterior muscle group at lower leg level, left leg, initial encounter
  S86202S Unspecified injury of muscle(s) and tendon(s) of anterior muscle group at lower leg level, left leg, sequela
  S86209A Unspecified injury of muscle(s) and tendon(s) of anterior muscle group at lower leg level, unspecified leg, initial encounter
  S86209S Unspecified injury of muscle(s) and tendon(s) of anterior muscle group at lower leg level, unspecified leg, sequela
  S86291A Other injury of muscle(s) and tendon(s) of anterior muscle group at lower leg level, right leg, initial encounter
  S86291S Other injury of muscle(s) and tendon(s) of anterior muscle group at lower leg level, right leg, sequela
  S86292A Other injury of muscle(s) and tendon(s) of anterior muscle group at lower leg level, left leg, initial encounter
  S86292S Other injury of muscle(s) and tendon(s) of anterior muscle group at lower leg level, left leg, sequela
  S86299A Other injury of muscle(s) and tendon(s) of anterior muscle group at lower leg level, unspecified leg, initial encounter
  S86299S Other injury of muscle(s) and tendon(s) of anterior muscle group at lower leg level, unspecified leg, sequela
  S86301A Unspecified injury of muscle(s) and tendon(s) of peroneal muscle group at lower leg level, right leg, initial encounter
  S86301S Unspecified injury of muscle(s) and tendon(s) of peroneal muscle group at lower leg level, right leg, sequela
  S86302A Unspecified injury of muscle(s) and tendon(s) of peroneal muscle group at lower leg level, left leg, initial encounter
  S86302S Unspecified injury of muscle(s) and tendon(s) of peroneal muscle group at lower leg level, left leg, sequela
  S86309A Unspecified injury of muscle(s) and tendon(s) of peroneal muscle group at lower leg level, unspecified leg, initial encounter
  S86309S Unspecified injury of muscle(s) and tendon(s) of peroneal muscle group at lower leg level, unspecified leg, sequela
  S86391A Other injury of muscle(s) and tendon(s) of peroneal muscle group at lower leg level, right leg, initial encounter
  S86391S Other injury of muscle(s) and tendon(s) of peroneal muscle group at lower leg level, right leg, sequela
  S86392A Other injury of muscle(s) and tendon(s) of peroneal muscle group at lower leg level, left leg, initial encounter
  S86392S Other injury of muscle(s) and tendon(s) of peroneal muscle group at lower leg level, left leg, sequela
  S86399A Other injury of muscle(s) and tendon(s) of peroneal muscle group at lower leg level, unspecified leg, initial encounter
  S86399S Other injury of muscle(s) and tendon(s) of peroneal muscle group at lower leg level, unspecified leg, sequela
  S86801A Unspecified injury of other muscle(s) and tendon(s) at lower leg level, right leg, initial encounter
  S86801S Unspecified injury of other muscle(s) and tendon(s) at lower leg level, right leg, sequela
  S86802A Unspecified injury of other muscle(s) and tendon(s) at lower leg level, left leg, initial encounter
  S86802S Unspecified injury of other muscle(s) and tendon(s) at lower leg level, left leg, sequela
  S86809A Unspecified injury of other muscle(s) and tendon(s) at lower leg level, unspecified leg, initial encounter
  S86809S Unspecified injury of other muscle(s) and tendon(s) at lower leg level, unspecified leg, sequela
  S86891A Other injury of other muscle(s) and tendon(s) at lower leg level, right leg, initial encounter
  S86891S Other injury of other muscle(s) and tendon(s) at lower leg level, right leg, sequela
  S86892A Other injury of other muscle(s) and tendon(s) at lower leg level, left leg, initial encounter
  S86892S Other injury of other muscle(s) and tendon(s) at lower leg level, left leg, sequela
  S86899A Other injury of other muscle(s) and tendon(s) at lower leg level, unspecified leg, initial encounter
  S86899S Other injury of other muscle(s) and tendon(s) at lower leg level, unspecified leg, sequela
  S86901A Unspecified injury of unspecified muscle(s) and tendon(s) at lower leg level, right leg, initial encounter
  S86901S Unspecified injury of unspecified muscle(s) and tendon(s) at lower leg level, right leg, sequela
  S86902A Unspecified injury of unspecified muscle(s) and tendon(s) at lower leg level, left leg, initial encounter
  S86902S Unspecified injury of unspecified muscle(s) and tendon(s) at lower leg level, left leg, sequela
  S86909A Unspecified injury of unspecified muscle(s) and tendon(s) at lower leg level, unspecified leg, initial encounter
  S86909S Unspecified injury of unspecified muscle(s) and tendon(s) at lower leg level, unspecified leg, sequela
  S86991A Other injury of unspecified muscle(s) and tendon(s) at lower leg level, right leg, initial encounter
  S86991S Other injury of unspecified muscle(s) and tendon(s) at lower leg level, right leg, sequela
  S86992A Other injury of unspecified muscle(s) and tendon(s) at lower leg level, left leg, initial encounter
  S86992S Other injury of unspecified muscle(s) and tendon(s) at lower leg level, left leg, sequela
  S86999A Other injury of unspecified muscle(s) and tendon(s) at lower leg level, unspecified leg, initial encounter
  S86999S Other injury of unspecified muscle(s) and tendon(s) at lower leg level, unspecified leg, sequela
  S8700XA Crushing injury of unspecified knee, initial encounter
  S8701XA Crushing injury of right knee, initial encounter
  S8702XA Crushing injury of left knee, initial encounter
  S8780XA Crushing injury of unspecified lower leg, initial encounter
  S8781XA Crushing injury of right lower leg, initial encounter
  S8782XA Crushing injury of left lower leg, initial encounter
  S88011A Complete traumatic amputation at knee level, right lower leg, initial encounter
  S88012A Complete traumatic amputation at knee level, left lower leg, initial encounter
  S88019A Complete traumatic amputation at knee level, unspecified lower leg, initial encounter
  S88021A Partial traumatic amputation at knee level, right lower leg, initial encounter
  S88022A Partial traumatic amputation at knee level, left lower leg, initial encounter
  S88029A Partial traumatic amputation at knee level, unspecified lower leg, initial encounter
  S88111A Complete traumatic amputation at level between knee and ankle, right lower leg, initial encounter
  S88112A Complete traumatic amputation at level between knee and ankle, left lower leg, initial encounter
  S88119A Complete traumatic amputation at level between knee and ankle, unspecified lower leg, initial encounter
  S88121A Partial traumatic amputation at level between knee and ankle, right lower leg, initial encounter
  S88122A Partial traumatic amputation at level between knee and ankle, left lower leg, initial encounter
  S88129A Partial traumatic amputation at level between knee and ankle, unspecified lower leg, initial encounter
  S88911A Complete traumatic amputation of right lower leg, level unspecified, initial encounter
  S88912A Complete traumatic amputation of left lower leg, level unspecified, initial encounter
  S88919A Complete traumatic amputation of unspecified lower leg, level unspecified, initial encounter
  S88921A Partial traumatic amputation of right lower leg, level unspecified, initial encounter
  S88922A Partial traumatic amputation of left lower leg, level unspecified, initial encounter
  S88929A Partial traumatic amputation of unspecified lower leg, level unspecified, initial encounter
  S8980XA Other specified injuries of unspecified lower leg, initial encounter
  S8980XS Other specified injuries of unspecified lower leg, sequela
  S8981XA Other specified injuries of right lower leg, initial encounter
  S8981XS Other specified injuries of right lower leg, sequela
  S8982XA Other specified injuries of left lower leg, initial encounter
  S8982XS Other specified injuries of left lower leg, sequela
  S8990XA Unspecified injury of unspecified lower leg, initial encounter
  S8990XS Unspecified injury of unspecified lower leg, sequela
  S8991XA Unspecified injury of right lower leg, initial encounter
  S8991XS Unspecified injury of right lower leg, sequela
  S8992XA Unspecified injury of left lower leg, initial encounter
  S8992XS Unspecified injury of left lower leg, sequela
  S91021A Laceration with foreign body, right ankle, initial encounter
  S91022A Laceration with foreign body, left ankle, initial encounter
  S91029A Laceration with foreign body, unspecified ankle, initial encounter
  S91041A Puncture wound with foreign body, right ankle, initial encounter
  S91042A Puncture wound with foreign body, left ankle, initial encounter
  S91049A Puncture wound with foreign body, unspecified ankle, initial encounter
  S91121A Laceration with foreign body of right great toe without damage to nail, initial encounter
  S91122A Laceration with foreign body of left great toe without damage to nail, initial encounter
  S91123A Laceration with foreign body of unspecified great toe without damage to nail, initial encounter
  S91124A Laceration with foreign body of right lesser toe(s) without damage to nail, initial encounter
  S91125A Laceration with foreign body of left lesser toe(s) without damage to nail, initial encounter
  S91126A Laceration with foreign body of unspecified lesser toe(s) without damage to nail, initial encounter
  S91129A Laceration with foreign body of unspecified toe(s) without damage to nail, initial encounter
  S91141A Puncture wound with foreign body of right great toe without damage to nail, initial encounter
  S91142A Puncture wound with foreign body of left great toe without damage to nail, initial encounter
  S91143A Puncture wound with foreign body of unspecified great toe without damage to nail, initial encounter
  S91144A Puncture wound with foreign body of right lesser toe(s) without damage to nail, initial encounter
  S91145A Puncture wound with foreign body of left lesser toe(s) without damage to nail, initial encounter
  S91146A Puncture wound with foreign body of unspecified lesser toe(s) without damage to nail, initial encounter
  S91149A Puncture wound with foreign body of unspecified toe(s) without damage to nail, initial encounter
  S91221A Laceration with foreign body of right great toe with damage to nail, initial encounter
  S91222A Laceration with foreign body of left great toe with damage to nail, initial encounter
  S91223A Laceration with foreign body of unspecified great toe with damage to nail, initial encounter
  S91224A Laceration with foreign body of right lesser toe(s) with damage to nail, initial encounter
  S91225A Laceration with foreign body of left lesser toe(s) with damage to nail, initial encounter
  S91226A Laceration with foreign body of unspecified lesser toe(s) with damage to nail, initial encounter
  S91229A Laceration with foreign body of unspecified toe(s) with damage to nail, initial encounter
  S91241A Puncture wound with foreign body of right great toe with damage to nail, initial encounter
  S91242A Puncture wound with foreign body of left great toe with damage to nail, initial encounter
  S91243A Puncture wound with foreign body of unspecified great toe with damage to nail, initial encounter
  S91244A Puncture wound with foreign body of right lesser toe(s) with damage to nail, initial encounter
  S91245A Puncture wound with foreign body of left lesser toe(s) with damage to nail, initial encounter
  S91246A Puncture wound with foreign body of unspecified lesser toe(s) with damage to nail, initial encounter
  S91249A Puncture wound with foreign body of unspecified toe(s) with damage to nail, initial encounter
  S91321A Laceration with foreign body, right foot, initial encounter
  S91322A Laceration with foreign body, left foot, initial encounter
  S91329A Laceration with foreign body, unspecified foot, initial encounter
  S91341A Puncture wound with foreign body, right foot, initial encounter
  S91342A Puncture wound with foreign body, left foot, initial encounter
  S91349A Puncture wound with foreign body, unspecified foot, initial encounter
  S95001A Unspecified injury of dorsal artery of right foot, initial encounter
  S95002A Unspecified injury of dorsal artery of left foot, initial encounter
  S95009A Unspecified injury of dorsal artery of unspecified foot, initial encounter
  S95011A Laceration of dorsal artery of right foot, initial encounter
